q,beta,beta_over_betac,m_mean,m_var,chi
2,0.44068679350977147,0.5,0.07270833333333333,0.0038747797710905344,2.2318731481481477
2,0.4847554728607486,0.5499999999999999,0.07601851851851853,0.002799341992455419,1.6124209876543214
2,0.5288241522117257,0.6,0.07944444444444444,0.0035321694958847724,2.034529629629629
2,0.5728928315627029,0.6499999999999999,0.09027777777777776,0.004931520061728395,2.8405555555555555
2,0.61696151091368,0.7,0.0976388888888889,0.006436458333333335,3.7074000000000007
2,0.6610301902646571,0.7499999999999999,0.0799537037037037,0.0042126328875171475,2.426476543209877
2,0.7050988696156344,0.8,0.16004629629629633,0.016512401406035663,9.511143209876542
2,0.7491675489666114,0.8499999999999999,0.15981481481481485,0.0059534057784636505,3.4291617283950626
2,0.7932362283175887,0.9,0.09569444444444444,0.004873244598765432,2.8069888888888888
2,0.8373049076685657,0.9499999999999998,0.2071990740740741,0.009495643111282578,5.469490432098765
2,0.8813735870195429,1.0,0.4462268518518518,0.08070083215449245,46.48367932098765
2,0.92544226637052,1.0499999999999998,0.8196064814814815,0.005346633337620027,3.0796608024691356
2,0.9695109457214972,1.0999999999999999,0.8877777777777779,0.0008824138374485595,0.5082703703703703
2,1.0135796250724742,1.15,0.9219212962962962,0.001031657771776406,0.5942348765432099
2,1.0576483044234515,1.2,0.8204629629629631,0.013662639317558305,7.869680246913584
2,1.1017169837744287,1.25,0.9258796296296296,0.003377216220850481,1.9452765432098769
2,1.1457856631254058,1.2999999999999998,0.6686805555555554,0.008574021026234568,4.938636111111111
2,1.1898543424763828,1.3499999999999999,0.9696296296296295,0.00015708376200274375,0.0904802469135804
2,1.23392302182736,1.4,0.23472222222222225,0.001330857767489712,0.7665740740740741
2,1.2779917011783373,1.45,0.9193287037037038,0.009099378965192043,5.2412422839506165
2,1.3220603805293143,1.4999999999999998,0.9531712962962964,0.004533458183299039,2.6112719135802465
3,0.5025262693711905,0.5,0.052256944444444446,0.0008172984182098765,0.47076388888888887
3,0.5527788963083096,0.55,0.06355902777777779,0.001270715482735339,0.7319321180555554
3,0.6030315232454286,0.6000000000000001,0.045989583333333334,0.0005275092230902776,0.3038453124999999
3,0.6532841501825477,0.65,0.06133680555555557,0.0013821557315779325,0.7961217013888892
3,0.7035367771196667,0.7,0.05960069444444445,0.0008834758994020064,0.5088821180555557
3,0.7537894040567857,0.75,0.059670138888888884,0.0010455491054205247,0.6022362847222222
3,0.8040420309939048,0.8,0.12043402777777776,0.00439796157648534,2.5332258680555557
3,0.8542946579310238,0.85,0.11598958333333331,0.0028198811848958332,1.6242515625
3,0.9045472848681428,0.8999999999999999,0.20069444444444443,0.011317063319830248,6.518628472222223
3,0.9547999118052619,0.95,0.0969097222222222,0.0028353395061728394,1.6331555555555555
3,1.005052538742381,1.0,0.7383680555555555,0.001942877121913579,1.1190972222222215
3,1.0553051656795,1.05,0.49664930555555553,0.0027117094063464505,1.5619446180555554
3,1.1055577926166191,1.1,0.8110243055555557,0.003875634464216821,2.232365451388889
3,1.1558104195537382,1.1500000000000001,0.1781944444444445,0.003050884934413581,1.7573097222222227
3,1.2060630464908573,1.2000000000000002,0.23706597222222223,0.004815123758198302,2.773511284722222
3,1.2563156734279763,1.25,0.31684027777777773,0.0030497383777006175,1.7566493055555557
3,1.3065683003650954,1.3,0.468923611111111,0.002422749083719136,1.3955034722222224
3,1.3568209273022145,1.35,0.42274305555555564,0.010761146074459877,6.198420138888889
3,1.4070735542393336,1.4000000000000001,0.9552430555555557,0.0025617934992283953,1.4755930555555556
3,1.4573261811764524,1.45,0.9842534722222223,0.00018186999662422868,0.10475711805555572
3,1.5075788081135715,1.5,0.36631944444444436,0.0067947651427469145,3.9137847222222226
