# z, w_coh(z_t=0.7,w_z=0.2), pulse(z_t=0.7,w_z=0.2)
0.050	0.9627	0.0060
0.173	0.9331	0.0203
0.296	0.8831	0.0677
0.418	0.8034	0.2131
0.541	0.6887	0.5636
0.664	0.5448	0.9683
0.787	0.3931	0.8329
0.910	0.2596	0.3898
1.032	0.1595	0.1341
1.155	0.0931	0.0413
1.278	0.0526	0.0123
1.401	0.0292	0.0036
1.524	0.0160	0.0011
1.646	0.0087	0.0003
1.769	0.0047	0.0001
1.892	0.0026	0.0000
2.015	0.0014	0.0000
2.138	0.0008	0.0000
2.261	0.0004	0.0000
2.383	0.0002	0.0000
