# log10_L[m]	log10_tau_q[s]
1.450417362270450639e+01	1.648397231003150409e+01
1.457429048414023143e+01	1.647984589711984071e+01
1.464440734557596002e+01	1.647527775411621320e+01
1.471452420701168506e+01	1.647022794391543954e+01
1.478464106844741011e+01	1.646465381045469556e+01
1.485475792988313870e+01	1.645850989617379767e+01
1.492487479131886374e+01	1.645174786931386990e+01
1.499499165275458878e+01	1.644431646280472847e+01
1.506510851419031738e+01	1.643616142658087043e+01
1.513522537562604242e+01	1.642722549524509645e+01
1.520534223706176746e+01	1.641744837306553961e+01
1.527545909849749606e+01	1.640676673834441601e+01
1.534557595993322110e+01	1.639511426923195003e+01
1.541569282136894614e+01	1.638242169307557461e+01
1.548580968280467474e+01	1.636861686138911054e+01
1.555592654424039978e+01	1.635362485249827813e+01
1.562604340567612482e+01	1.633736810386409388e+01
1.569616026711185341e+01	1.631976657600383263e+01
1.576627712854757846e+01	1.630073794981728952e+01
1.583639398998330350e+01	1.628019785898328209e+01
1.590651085141903209e+01	1.625806015891593148e+01
1.597662771285475714e+01	1.623423723356136250e+01
1.604674457429048218e+01	1.620864034107256302e+01
1.611686143572621077e+01	1.618117999912274740e+01
1.618697829716193581e+01	1.615176641030604543e+01
1.625709515859766086e+01	1.612030992772944060e+01
1.632721202003338945e+01	1.608672156052275781e+01
1.639732888146911449e+01	1.605091351858591509e+01
1.646744574290483953e+01	1.601279979545689258e+01
1.653756260434056813e+01	1.597229678772327510e+01
1.660767946577629317e+01	1.592932394891773740e+01
1.667779632721201821e+01	1.588380447533813999e+01
1.674791318864774681e+01	1.583566602072024843e+01
1.681803005008347185e+01	1.578484143617132318e+01
1.688814691151919689e+01	1.573126953125110816e+01
1.695826377295492549e+01	1.567489585156985754e+01
1.702838063439065053e+01	1.561567346776740983e+01
1.709849749582637557e+01	1.555356377025028536e+01
1.716861435726210061e+01	1.548853726360216321e+01
1.723873121869782921e+01	1.542057435415514988e+01
1.730884808013355425e+01	1.534966612382168982e+01
1.737896494156927929e+01	1.527581508294849932e+01
1.744908180300500788e+01	1.519903589467040028e+01
1.751919866444073293e+01	1.511935606302271395e+01
1.758931552587645797e+01	1.503681657692017382e+01
1.765943238731218656e+01	1.495147250203687150e+01
1.772954924874791161e+01	1.486339351262966346e+01
1.779966611018363665e+01	1.477266435544198586e+01
1.786978297161936524e+01	1.467938523801047168e+01
1.793989983305509028e+01	1.458367213397619189e+01
1.801001669449081533e+01	1.448565699837670984e+01
1.808013355592654392e+01	1.438548788636699705e+01
1.815025041736226896e+01	1.428332896938412588e+01
1.822036727879799400e+01	1.417936044343219315e+01
1.829048414023372260e+01	1.407377832491609482e+01
1.836060100166944764e+01	1.396679413029143291e+01
1.843071786310517268e+01	1.385863443671662765e+01
1.850083472454090128e+01	1.374954032188538910e+01
1.857095158597662632e+01	1.363976668227381239e+01
1.864106844741235136e+01	1.352958143014713599e+01
1.871118530884807996e+01	1.341926457082516322e+01
1.878130217028380500e+01	1.330910716289065121e+01
1.885141903171953004e+01	1.319941016522816213e+01
1.892153589315525863e+01	1.309048317598882427e+01
1.899165275459098368e+01	1.298264306977392479e+01
1.906176961602670872e+01	1.287621254050302255e+01
1.913188647746243731e+01	1.277151855856542895e+01
1.920200333889816235e+01	1.266889075193189207e+01
1.927212020033388740e+01	1.256865972191190650e+01
1.934223706176961599e+01	1.247115530516715864e+01
1.941235392320534103e+01	1.237670479441884375e+01
1.948247078464106607e+01	1.228563113100416260e+01
1.955258764607679467e+01	1.219825108303331618e+01
1.962270450751251971e+01	1.211487342336234363e+01
1.969282136894824475e+01	1.203579712192077267e+01
1.976293823038397335e+01	1.196130956710933368e+01
1.983305509181969839e+01	1.189168483100606366e+01
1.990317195325542343e+01	1.182718199298642503e+01
1.997328881469115203e+01	1.176804353607279197e+01
2.004340567612687352e+01	1.171449382988159371e+01
2.011352253756260211e+01	1.166673771343564781e+01
2.018363939899833071e+01	1.162495919035941938e+01
2.025375626043405219e+01	1.158932024808308725e+01
2.032387312186978079e+01	1.155995981165654030e+01
2.039398998330550938e+01	1.153699284162729555e+01
2.046410684474123087e+01	1.152050958417932236e+01
2.053422370617695947e+01	1.151057498037727633e+01
2.060434056761268806e+01	1.150722823992766664e+01
2.067445742904840955e+01	1.151048258337182872e+01
2.074457429048413815e+01	1.152032515508287602e+01
2.081469115191986674e+01	1.153671710786781190e+01
2.088480801335558823e+01	1.155959385839569720e+01
2.095492487479131682e+01	1.158886551110160923e+01
2.102504173622704542e+01	1.162441744667279764e+01
2.109515859766276691e+01	1.166611106972604972e+01
2.116527545909849550e+01	1.171378470885140999e+01
2.123539232053422410e+01	1.176725466084344163e+01
2.130550918196994559e+01	1.182631636968299560e+01
2.137562604340567418e+01	1.189074572968366006e+01
2.144574290484140278e+01	1.196030050119029298e+01
2.151585976627712427e+01	1.203472182632359733e+01
2.158597662771285286e+01	1.211373583151265443e+01
2.165609348914858145e+01	1.219705530295435736e+01
2.172621035058430294e+01	1.228438142068973704e+01
2.179632721202003154e+01	1.237540553669452592e+01
2.186644407345576013e+01	1.246981098224618378e+01
2.193656093489148162e+01	1.256727488985105623e+01
2.200667779632721022e+01	1.266747001518906757e+01
2.207679465776293881e+01	1.277006654485489712e+01
2.214691151919866030e+01	1.287473387613722409e+01
2.221702838063438890e+01	1.298114235567136276e+01
2.228714524207011749e+01	1.308896496451656155e+01
2.235726210350583898e+01	1.319787893803547263e+01
2.242737896494156757e+01	1.330756730987665293e+01
2.249749582637729617e+01	1.341772037036849774e+01
2.256761268781301766e+01	1.352803703071051089e+01
2.263772954924874625e+01	1.363822608547993909e+01
2.270784641068447485e+01	1.374800736714403726e+01
2.277796327212019634e+01	1.385711278746598119e+01
2.284808013355592493e+01	1.396528726189980674e+01
2.291819699499165353e+01	1.407228951427326891e+01
2.298831385642737501e+01	1.417789276024339884e+01
2.305843071786310361e+01	1.428188526916375167e+01
2.312854757929883220e+01	1.438407080511371205e+01
2.319866444073455369e+01	1.448426894889765038e+01
2.326878130217028229e+01	1.458231530381423902e+01
2.333889816360601088e+01	1.467806158891630375e+01
2.340901502504173237e+01	1.477137562432157303e+01
2.347913188647746097e+01	1.486214121388792719e+01
2.354924874791318956e+01	1.495025793122936975e+01
2.361936560934891105e+01	1.503564081561784249e+01
2.368948247078463964e+01	1.511821998478835738e+01
2.375959933222036824e+01	1.519794017204118930e+01
2.382971619365608973e+01	1.527476019531557228e+01
2.389983305509181832e+01	1.534865236609583761e+01
2.396994991652754692e+01	1.541960184610684692e+01
2.404006677796326841e+01	1.548760595976492027e+01
2.411018363939899700e+01	1.555267347027750091e+01
2.418030050083472560e+01	1.561482382713579220e+01
2.425041736227044709e+01	1.567408639252584734e+01
2.432053422370617568e+01	1.573049965390125671e+01
2.439065108514190428e+01	1.578411042962245681e+01
2.446076794657762576e+01	1.583497307418121380e+01
2.453088480801335436e+01	1.588314868910098099e+01
2.460100166944908295e+01	1.592870434514289002e+01
2.467111853088480444e+01	1.597171232096034466e+01
2.474123539232053304e+01	1.601224936283974642e+01
2.481135225375626163e+01	1.605039596964800452e+01
2.488146911519198312e+01	1.608623570658608770e+01
2.495158597662771172e+01	1.611985455082766805e+01
2.502170283806344031e+01	1.615134027160938501e+01
2.509181969949916180e+01	1.618078184683916021e+01
2.516193656093489039e+01	1.620826891780650314e+01
2.523205342237061899e+01	1.623389128311740492e+01
2.530217028380634048e+01	1.625773843254066264e+01
2.537228714524206907e+01	1.627989912104433401e+01
2.544240400667779767e+01	1.630046098292338286e+01
2.551252086811351916e+01	1.631951018557440491e+01
2.558263772954924775e+01	1.633713112216108598e+01
2.565275459098497635e+01	1.635340614213640720e+01
2.572287145242069784e+01	1.636841531834408059e+01
2.579298831385642643e+01	1.638223624921234034e+01
2.586310517529215502e+01	1.639494389437746236e+01
2.593322203672787651e+01	1.640661044193091200e+01
2.600333889816360511e+01	1.641730520537201343e+01
2.607345575959933370e+01	1.642709454826528770e+01
2.614357262103505519e+01	1.643604183454691992e+01
2.621368948247078379e+01	1.644420740239571188e+01
2.628380634390651238e+01	1.645164855957845162e+01
2.635392320534223387e+01	1.645841959819579614e+01
2.642404006677796247e+01	1.646457182678982534e+01
2.649415692821369106e+01	1.647015361782657195e+01
2.656427378964941255e+01	1.647521046863347038e+01
2.663439065108514114e+01	1.647978507395078296e+01
2.670450751252086974e+01	1.648391740834516028e+01
2.677462437395659123e+01	1.648764481683116045e+01
2.684474123539231982e+01	1.649100211214996747e+01
2.691485809682804842e+01	1.649402167726274371e+01
2.698497495826376991e+01	1.649673357172675736e+01
2.705509181969949850e+01	1.649916564073438607e+01
2.712520868113522710e+01	1.650134362570680935e+01
2.719532554257094858e+01	1.650329127544464569e+01
2.726544240400667718e+01	1.650503045694544113e+01
2.733555926544240577e+01	1.650658126510259294e+01
2.740567612687812726e+01	1.650796213060020889e+01
2.747579298831385586e+01	1.650918992541415875e+01
